time,0.xpos,0.ypos,0.xvel,0.yvel,0.mass,1.xpos,1.ypos,1.xvel,1.yvel,1.mass,time_limit,
8760.000000,-517871.512948,-105005.163302,-180.906417,-43.351744,5970000000000000281018368.000000,-32187877.947129,-49600627.856954,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8770.000000,-519680.615299,-105438.740415,-180.914044,-43.363666,5970000000000000281018368.000000,-32287473.323273,-49770352.895454,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8780.000000,-521489.793663,-105872.436361,-180.921620,-43.375511,5970000000000000281018368.000000,-32387068.699417,-49940077.933953,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8790.000000,-523299.047519,-106306.250371,-180.929143,-43.387279,5970000000000000281018368.000000,-32486664.075562,-50109802.972452,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8800.000000,-525108.376355,-106740.181678,-180.936616,-43.398970,5970000000000000281018368.000000,-32586259.451706,-50279528.010952,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8810.000000,-526917.779661,-107174.229525,-180.944037,-43.410587,5970000000000000281018368.000000,-32685854.827850,-50449253.049451,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8820.000000,-528727.256936,-107608.393164,-180.951409,-43.422129,5970000000000000281018368.000000,-32785450.203994,-50618978.087951,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8830.000000,-530536.807681,-108042.671850,-180.958732,-43.433596,5970000000000000281018368.000000,-32885045.580138,-50788703.126450,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8840.000000,-532346.431403,-108477.064848,-180.966005,-43.444991,5970000000000000281018368.000000,-32984640.956282,-50958428.164949,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8850.000000,-534156.127614,-108911.571430,-180.973229,-43.456313,5970000000000000281018368.000000,-33084236.332426,-51128153.203449,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8860.000000,-535965.895830,-109346.190874,-180.980406,-43.467564,5970000000000000281018368.000000,-33183831.708570,-51297878.241948,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8870.000000,-537775.735573,-109780.922465,-180.987535,-43.478743,5970000000000000281018368.000000,-33283427.084714,-51467603.280448,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8880.000000,-539585.646369,-110215.765495,-180.994617,-43.489852,5970000000000000281018368.000000,-33383022.460859,-51637328.318947,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8890.000000,-541395.627750,-110650.719263,-181.001652,-43.500890,5970000000000000281018368.000000,-33482617.837003,-51807053.357447,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8900.000000,-543205.679251,-111085.783073,-181.008641,-43.511860,5970000000000000281018368.000000,-33582213.213147,-51976778.395946,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
