time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
1380.000000,-23717542.283995,18495597.479908,-16414.193510,2259.522591,100000000000000004764729344.000000,1000000.000000,-84600370.812059,
1390.000000,-23881394.081468,18517966.876255,-16356.237009,2214.454543,100000000000000004764729344.000000,1000000.000000,-84600370.812183,
1400.000000,-24044668.435016,18539888.508528,-16298.703766,2169.967836,100000000000000004764729344.000000,1000000.000000,-84600370.812303,
1410.000000,-24207369.548602,18561368.132431,-16241.588074,2126.050981,100000000000000004764729344.000000,1000000.000000,-84600370.812417,
1420.000000,-24369501.569639,18582411.390338,-16184.884330,2082.692798,100000000000000004764729344.000000,1000000.000000,-84600370.812527,
1430.000000,-24531068.589997,18603023.814292,-16128.587029,2039.882400,100000000000000004764729344.000000,1000000.000000,-84600370.812633,
1440.000000,-24692074.646991,18623210.828910,-16072.690764,1997.609187,100000000000000004764729344.000000,1000000.000000,-84600370.812734,
1450.000000,-24852523.724345,18642977.754194,-16017.190224,1955.862835,100000000000000004764729344.000000,1000000.000000,-84600370.812832,
1460.000000,-25012419.753145,18662329.808245,-15962.080191,1914.633286,100000000000000004764729344.000000,1000000.000000,-84600370.812925,
1470.000000,-25171766.612759,18681272.109896,-15907.355540,1873.910743,100000000000000004764729344.000000,1000000.000000,-84600370.813015,
1480.000000,-25330568.131753,18699809.681252,-15853.011235,1833.685656,100000000000000004764729344.000000,1000000.000000,-84600370.813101,
1490.000000,-25488828.088777,18717947.450155,-15799.042329,1793.948721,100000000000000004764729344.000000,1000000.000000,-84600370.813185,
1500.000000,-25646550.213437,18735690.252567,-15745.443959,1754.690865,100000000000000004764729344.000000,1000000.000000,-84600370.813264,
1510.000000,-25803738.187154,18753042.834882,-15692.211351,1715.903246,100000000000000004764729344.000000,1000000.000000,-84600370.813341,
1520.000000,-25960395.643994,18770009.856157,-15639.339809,1677.577238,100000000000000004764729344.000000,1000000.000000,-84600370.813415,
1530.000000,-26116526.171494,18786595.890285,-15586.824720,1639.704432,100000000000000004764729344.000000,1000000.000000,-84600370.813486,
1540.000000,-26272133.311459,18802805.428090,-15534.661553,1602.276623,100000000000000004764729344.000000,1000000.000000,-84600370.813555,
1550.000000,-26427220.560755,18818642.879362,-15482.845850,1565.285808,100000000000000004764729344.000000,1000000.000000,-84600370.813621,
1560.000000,-26581791.372073,18834112.574834,-15431.373234,1528.724177,100000000000000004764729344.000000,1000000.000000,-84600370.813685,
